
NO.2-49data[10 11 19], 總效率 = 1.02, 各角度效率 = [0.13, 0.19, 0.24, 0.0, 0.23, 0.14, 0.09, 0.0]
NO.2-50data[ 4 17 60], 總效率 = 0.6200000000000001, 各角度效率 = [0.5, 0.06, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-51data[ 8 18 71], 總效率 = 4.17, 各角度效率 = [0.49, 0.77, 1.0, 1.0, 0.0, 0.91, 0.0, 0.0]
NO.2-52data[ 9 13 87], 總效率 = 3.7399999999999998, 各角度效率 = [0.58, 0.51, 0.36, 0.25, 0.0, 1.0, 0.48, 0.56]
NO.2-53data[ 3  2 77], 總效率 = 0.4700000000000001, 各角度效率 = [0.23, 0.2, 0.01, 0.0, 0.0, 0.01, 0.02, 0.0]
NO.2-54data[ 4  4 63], 總效率 = 2.11, 各角度效率 = [0.15, 0.08, 0.0, 0.0, 0.0, 0.0, 0.88, 1.0]
NO.2-55data[ 4  4 12], 總效率 = 0.76, 各角度效率 = [0.0, 0.03, 0.02, 0.02, 0.06, 0.19, 0.15, 0.29]
NO.2-56data[10 18 29], 總效率 = 0.8500000000000001, 各角度效率 = [0.78, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-57data[10 18 72], 總效率 = 7.08, 各角度效率 = [0.46, 0.71, 1.0, 1.0, 1.0, 1.0, 0.91, 1.0]
NO.2-58data[ 8 18 76], 總效率 = 4.88, 各角度效率 = [0.43, 0.94, 1.0, 0.43, 0.03, 0.84, 0.29, 0.92]
NO.2-59data[ 4 19 48], 總效率 = 0.65, 各角度效率 = [0.65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-60data[ 8 18 76], 總效率 = 4.88, 各角度效率 = [0.43, 0.94, 1.0, 0.43, 0.03, 0.84, 0.29, 0.92]
NO.2-61data[ 8 24 77], 總效率 = 2.8299999999999996, 各角度效率 = [0.37, 0.5, 0.22, 0.44, 0.98, 0.23, 0.09, 0.0]
NO.2-62data[ 4  4 41], 總效率 = 2.92, 各角度效率 = [0.04, 0.0, 0.0, 0.0, 0.34, 0.54, 1.0, 1.0]
NO.2-63data[ 6  9 20], 總效率 = 0.6799999999999999, 各角度效率 = [0.31, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-64data[10  7 87], 總效率 = 1.71, 各角度效率 = [0.88, 0.75, 0.04, 0.01, 0.0, 0.03, 0.0, 0.0]
NO.2-65data[ 6 21 82], 總效率 = 2.77, 各角度效率 = [0.3, 0.39, 0.48, 0.5, 1.0, 0.02, 0.08, 0.0]
NO.2-66data[ 1 27 83], 總效率 = 1.0, 各角度效率 = [0.55, 0.23, 0.22, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-67data[ 4  5 75], 總效率 = 3.17, 各角度效率 = [0.18, 0.1, 0.02, 0.0, 0.6, 0.68, 1.0, 0.59]
NO.2-68data[ 6 21 68], 總效率 = 1.69, 各角度效率 = [0.22, 0.39, 0.23, 0.85, 0.0, 0.0, 0.0, 0.0]
NO.2-69data[10  6 48], 總效率 = 0.96, 各角度效率 = [0.53, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-70data[ 9 21 68], 總效率 = 4.75, 各角度效率 = [0.62, 0.94, 1.0, 0.96, 0.72, 0.17, 0.34, 0.0]
NO.2-71data[10  7 48], 總效率 = 2.09, 各角度效率 = [0.43, 0.32, 0.19, 1.0, 0.04, 0.07, 0.04, 0.0]
NO.2-72data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.2-73data[ 3  5 87], 總效率 = 2.2, 各角度效率 = [0.14, 0.07, 0.02, 0.29, 0.49, 0.55, 0.64, 0.0]
NO.2-74data[ 8 27 73], 總效率 = 2.67, 各角度效率 = [0.4, 0.38, 0.56, 0.97, 0.1, 0.26, 0.0, 0.0]
NO.2-75data[ 9  7 48], 總效率 = 1.2299999999999998, 各角度效率 = [0.35, 0.22, 0.08, 0.0, 0.04, 0.36, 0.18, 0.0]
NO.2-76data[ 3  5 81], 總效率 = 2.03, 各角度效率 = [0.11, 0.04, 0.21, 0.29, 0.56, 0.59, 0.23, 0.0]
NO.2-77data[ 8 16 70], 總效率 = 5.55, 各角度效率 = [0.41, 0.66, 1.0, 1.0, 1.0, 0.55, 0.93, 0.0]
NO.2-78data[ 4 18 75], 總效率 = 1.28, 各角度效率 = [0.31, 0.6, 0.24, 0.1, 0.03, 0.0, 0.0, 0.0]
NO.2-79data[ 9 14 70], 總效率 = 6.220000000000001, 各角度效率 = [0.12, 0.48, 1.0, 0.96, 1.0, 1.0, 0.73, 0.93]
NO.2-80data[ 2 17 58], 總效率 = 0.09000000000000001, 各角度效率 = [0.07, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-81data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
